StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
5/6/19 7:58,5/6/19 8:00,IP Address,192.241.122.238,100,88,TRUE,5/6/19 8:00,R_1LnEFc8FCvSTME3,,,,,30.27130127,-97.74259949,anonymous,EN,A2GLIBWGYB74SD,"img32	,img65	,img68	",270442
5/6/19 8:01,5/6/19 8:02,IP Address,47.54.149.171,100,82,TRUE,5/6/19 8:02,R_1Q5gRjG73nhHtvJ,,,,,46.13409424,-60.17489624,anonymous,EN,A2G0GEZRMR8V66,"img36	,img71	,img72	",319206
5/6/19 8:03,5/6/19 8:03,IP Address,68.134.58.166,100,48,TRUE,5/6/19 8:03,R_1ff33LS5Vi8QDfW,,,,,39.47990417,-76.29550171,anonymous,EN,A30HBKEDOLTJ9K,"img7	,img11	,img27	",916946
5/6/19 8:01,5/6/19 8:04,IP Address,78.162.4.223,100,157,TRUE,5/6/19 8:04,R_x42FdxVkxpMcN7H,,,,,39.98210144,32.82460022,anonymous,EN,A337MKRWW1YJSD,"img11	,img47	,img59	",347813
5/6/19 8:04,5/6/19 8:06,IP Address,196.19.158.132,100,89,TRUE,5/6/19 8:06,R_22ss1w9ELE8ZJQQ,,,,,39.09970093,-94.57859802,anonymous,EN,A11A3I2BVGRKSE,"img29	,img60	,img69	",316158
5/6/19 8:04,5/6/19 8:06,IP Address,174.130.17.235,100,127,TRUE,5/6/19 8:06,R_2Qhahex5a56b6Gb,,,,,41.82670593,-90.5236969,anonymous,EN,A1MEQBGBKXQVQ4,"img2 ,img13	,img63	",213659
5/6/19 8:05,5/6/19 8:06,IP Address,8.20.65.4,100,79,TRUE,5/6/19 8:06,R_25EZqEvrsoZwkMI,,,,,40.21220398,-77.02649689,anonymous,EN,A1D8I3IMQDAIUO,"img31	,img66	,img70	",695012
5/6/19 8:05,5/6/19 8:07,IP Address,69.133.64.71,100,107,TRUE,5/6/19 8:07,R_11gtMnACfU5I6UB,,,,,39.57139587,-81.63459778,anonymous,EN,A35X2QXIS7N1W1,"img28	,img48	,img62	",962745
5/6/19 8:07,5/6/19 8:09,IP Address,47.187.86.76,100,93,TRUE,5/6/19 8:09,R_3KwFWsgsfzt5Jj6,,,,,33.01759338,-96.99259949,anonymous,EN,AGQPTDG6ZF3T3,"img32	,img36	,img68	",279153
5/6/19 8:08,5/6/19 8:11,IP Address,68.192.14.157,100,134,TRUE,5/6/19 8:11,R_9Lde3gEQ6oRWYmt,,,,,41.07679749,-73.48529816,anonymous,EN,A1X7FVM9URL2CR,"img26	,img35	,img44	",242684
5/6/19 8:13,5/6/19 8:13,IP Address,97.103.3.4,100,54,TRUE,5/6/19 8:13,R_1liPJP74hVMuNgR,,,,,28.90249634,-81.2480011,anonymous,EN,A365SN61J4UNGR,"img10	,img16	,img35	",861889
5/6/19 8:16,5/6/19 8:18,IP Address,74.98.180.79,100,120,TRUE,5/6/19 8:18,R_2Etn02HSi7d5On4,,,,,36.80090332,-76.42269897,anonymous,EN,A163BTK2YM6SWY,"img13	,img56	,img63	",163276
5/6/19 8:13,5/6/19 8:21,IP Address,129.205.112.130,100,460,TRUE,5/6/19 8:21,R_2wBRIwUO6uKJxCG,,,,,6.447402954,3.390304565,anonymous,EN,A38R689MVZST8Q,"img12	,img70	,img71	",288314
